Feature,Correlation,Total Hits
amendment,-0.001094814263802441,5.0
america,-0.010174770270683513,140.0
american,-0.005549906415267465,209.0
americans,-0.00491201233060126,70.0
americas,-0.0018994453820462141,17.0
ames,-0.004125284458130904,8.0
amid,0.0029034176267339518,5.0
amidst,7.520447910905068E-4,10.0
amigo,-0.0014652393268905991,20.0
amigos,9.043016814567826E-4,5.0
amish,0.0012788933118264667,9.0
ammo,-7.787852978045298E-4,21.0
ammunition,-0.004326311288147872,21.0
amnesia,-0.0024907277698375287,9.0
amnesty,0.0017961217088719001,5.0
among,-0.004469634207182177,94.0
amongst,1.9107970705165106E-4,15.0
amos,0.0031090611457789564,12.0
amount,-5.083496697705843E-4,41.0
amounts,-0.0017216772693486693,7.0
amrita,0.007743995289570582,11.0
amritas,0.004324829455084881,5.0
amsterdam,-0.004163120085335052,31.0
amulet,-0.0017216772693486693,7.0
amuse,0.0017961217088719001,5.0
amused,8.514394943389436E-4,39.0
amusement,0.0010442024310762714,6.0
amusing,1.2857206268543538E-4,19.0
amy,-0.006357704315665568,19.0
an,-0.010064732697062305,4369.0
ana,0.00470315482056332,53.0
anakin,0.002338018848534767,22.0
analysis,-2.222782825357412E-4,26.0
analyst,0.0010140823780269064,19.0
analyze,-9.457741538073045E-4,9.0
anarchy,-0.005052482823517552,12.0
anas,-1.2700974844286034E-4,8.0
anastasia,0.001258485868497486,23.0
anatomy,-0.0012641884221326336,6.0
ancestors,0.0025401385425544362,10.0
anchor,-0.003241015156165456,35.0
ancient,0.0024333818046972464,49.0
anck-su-namun,-0.001094814263802441,5.0
and,-0.011446057294010752,24749.0
and-and,-0.0010360489603740833,10.0
anderson,-0.005736124246259602,29.0
andersons,0.004324829455084881,5.0
andre,-0.0028814508067470305,10.0
andrew,0.008209029510461551,25.0
andrews,0.005250621747699494,7.0
andy,-0.0036525028426874517,38.0
andys,-0.0015932614909174544,16.0
angel,-0.0039172664010142895,144.0
angela,-0.003132483499680388,11.0
angeles,-0.0037776079909030524,62.0
angels,-0.0037016793054424103,55.0
anger,-0.0050966935528556,67.0
angie,-7.325860373347501E-4,5.0
angle,-0.007024860751083127,66.0
angles,-0.005258806945042247,13.0
angriest,-0.003572579275316084,6.0
angrily,0.0033034860217933553,27.0
angry,0.0010883109148566,158.0
anguish,0.0031637038526642013,9.0
angus,0.0011634340564895054,15.0
animal,-0.001125905326335768,94.0
animals,9.724739390852736E-4,89.0
anita,-0.003244651986166382,11.0
ankle,-0.0037631937644149647,19.0
ankles,-0.002728909836755438,15.0
ann,0.005048514393507729,9.0
anna,0.0026352781292658355,41.0
annabelle,-0.002252936755909242,8.0
anne,2.1985734049566585E-4,77.0
annes,0.003352593284258052,6.0
annibal,0.0028033112109815917,22.0
annie,0.009054488419585673,77.0
anniversary,0.0031414770957687286,18.0
announce,-0.003224572937740822,22.0
announced,0.0025526451094417643,7.0
announcement,-1.9148036574111242E-4,19.0
announcements,0.003352593284258052,6.0
annoy,-6.059172289635534E-4,9.0
annoyance,-0.003858838458765724,7.0
annoyed,0.00159773438121648,22.0
annoying,1.7948716192517193E-4,14.0
annual,2.772879301883688E-4,11.0
anomaly,-0.0017216772693486693,7.0
anonymous,-0.001892457140128455,26.0
another,-0.001619487122071624,1157.0
anothers,-0.003572579275316084,6.0
anouar,-1.5318122466016228E-4,14.0
answer,-0.005136002944783259,465.0
answered,-0.0045122250853489336,28.0
answering,-0.0015544172170691758,29.0
answers,-0.0034222043860772694,96.0
antarctica,-7.325860373347501E-4,5.0
ante,-0.0032612937835676276,5.0
antenna,-0.0017878652358082432,12.0
anthony,-0.0021222542241039967,13.0
anticipate,-0.003572579275316084,6.0
anticipated,-0.0032612937835676276,5.0
anticipation,-0.0024907277698375287,9.0
antidote,-0.0012689150647727373,15.0
antique,-1.1360041637808323E-4,7.0
anton,-0.005870529997214655,17.0
antonio,0.0011567967338692146,8.0
ants,-0.0013587198221607123,14.0
antsy,-0.003572579275316084,6.0
antwan,-0.0032612937835676276,5.0
anubis,0.004324829455084881,5.0
anxiety,-5.280107021872144E-4,17.0
anxious,0.0011739959139343344,45.0
anxiously,-1.7962330582251777E-4,16.0
any,-0.007007251557810143,2278.0
anya,-0.001313192164957445,10.0
anybody,-1.6738929057497708E-4,447.0
anybodys,0.0012788933118264667,9.0
anyhoo,-7.325860373347501E-4,5.0
anyhow,0.0012340148792531795,16.0
anymore,0.006686606656756752,419.0
anyone,-0.0024074204029355625,539.0
anyones,-0.002728909836755438,15.0
anyplace,-0.003572579275316084,6.0
anythin,0.0017961217088719001,5.0
anything,0.008481594927925428,1729.0
anythings,0.0010442024310762714,6.0
anytime,-0.0028638380964201363,29.0
anyway,-0.0015877763082603118,562.0
anyways,-0.0027296512345298942,20.0
anywhere,0.003671044150959351,189.0
apache,0.0012788933118264667,9.0
apart,-0.0019768042150528297,121.0
apartment,0.0024159992939044414,164.0
apartments,-0.003420174029650154,12.0
ape,0.0017158532316218526,17.0
apes,-0.0012641884221326336,6.0
apiece,-1.555564420464685E-4,12.0
apocalypse,-0.0012641884221326336,6.0
apollo,-0.00581600017867791,23.0
apologies,-0.003946105036572254,14.0
apologize,-0.001275872661315533,96.0
apologizing,-7.325860373347501E-4,5.0
apology,-0.0010547663674024246,22.0
apoplectic,-7.325860373347501E-4,5.0
appalled,-0.004125284458130904,8.0
apparatus,-0.003858838458765724,7.0
apparent,-0.0024907277698375287,9.0
apparently,-0.004659756248525526,74.0
appeal,-7.787852978045298E-4,21.0
appealing,0.0014767523519009025,12.0
appeals,-0.0012641884221326336,6.0
appear,0.0022684013622294467,65.0
appearance,-0.0017165599574545355,34.0
appearances,-0.0012641884221326336,6.0
appeared,-0.002769154129796971,25.0
appearing,0.0025401385425544362,10.0
appears,-0.0017731367416926134,112.0
appetite,0.005807075134310709,18.0
applaud,-0.0024907277698375287,9.0
applause,-0.0018994453820462141,17.0
apple,0.0031662408704675256,33.0
apples,0.004449006811315451,27.0
application,0.0016510744791376991,15.0
applications,-0.0012641884221326336,6.0
applied,-6.059172289635534E-4,9.0
applies,0.003352593284258052,6.0
apply,-5.142733597557981E-4,21.0
applying,0.008005987527355823,12.0
appoint,-0.0012641884221326336,6.0
